"vendor","isbn","class","title"
"outpan",5051275064025,,"Chilled House Classics (5051275064025)"
"nielsen",9780754636434,,"The Beginnings of a Commercial Sporting Culture in Britain, 1793-1850"
"worldcat",9780754636434,0,"The beginnings of a commercial sporting culture in Britain : 1793 - 1850"
"outpan",9780754636434,,"The Beginnings of a Commercial Sporting Culture in Britain, 1793-1850"
"open-library",754636437,,"BEGINNINGS OF A COMMERCIAL SPORTING CULTURE IN BRITAIN, 1793-1850."
"nielsen",9780631164340,,"The Language of News Media"
"worldcat",9780631164340,,"The language of news media"
"outpan",9780631164340,,"The Language of News Media"
"open-library",631164340,,"The language of news media"
"worldcat",9780486411514,,"The world of mathematics"
"open-library",486411516,,"The world of mathematics"
"outpan",9780486411514,,"World of Mathematics"
"nielsen",9780486411514,,"The World of Mathematics: Volume 3"
"worldcat",9780769777184,,"TT 2004"
"nielsen",9780814334669,,"The Russian Folktale by Vladimir Yakolevich Propp"
"worldcat",9780814334669,,"The Russian folktale by Vladimir Yakovlevich Propp"
"outpan",9780814334669,,"The Russian Folktale by Vladimir Yakolevich Propp"
"open-library",9780814334669,,"The Russian folktale by Vladimir Yakolevich Propp"
"nielsen",9780765613158,1,"Advertising, Promotion, and New Media"
"worldcat",9780765613158,0,"Advertising, promotion, and new media"
"outpan",9780765613158,1,"Advertising, Promotion, and New Media"
"open-library",9780765613158,1,"Advertising, Promotion, and New Media"
"nielsen",9780742547148,1,"Doing Social Research"
"worldcat",9780742547148,0,"Doing social research"
"outpan",9780742547148,1,"Doing Social Research"
"open-library",9780742547148,1,"Doing Social Research"
"nielsen",9780670843022,0,"Manguel Alberto : History of Reading"
"worldcat",9780670843022,0,"A history of reading"
"outpan",9780670843022,1,"History of Reading"
"open-library",670843024,0,"A history of reading"
"nielsen",9781405329729,,"Conception, Pregnancy and Birth: The Childbirth Bible for Today's Parents"
"worldcat",9781405329729,0,"Conception, pregnancy and birth : the childbirth bible for today's parents"
"nielsen",9781901564006,,"In Your Hands: NLP in ELT"
"worldcat",9781901564006,0,"In your hands : NLP in ELT"
"outpan",9781901564006,,"In Your Hands: Nlp in Elt"
"open-library",9781901564006,,"In Your Hands"
"nielsen",9780340967553,,"Complete Psychology"
"worldcat",9780340967553,,"Complete psychology."
"outpan",9780340967553,,"Complete Psychology"
"open-library",9780340967553,,"Complete psychology"
"worldcat",9788858111659,0,"Il mondo nella rete : quali i diritti, quali i vincoli"
"nielsen",9780340967553,,"Complete Psychology"
"worldcat",9780340967553,,"Complete psychology."
"outpan",9780340967553,,"Complete Psychology"
"open-library",9780340967553,,"Complete psychology"
"nielsen",9780671047641,,"Venice: Lion City"
"worldcat",9780671047641,0,"Venice : lion city :the religion of empire"
"open-library",9780671047641,,"Venice: Lion City"
"outpan",9780671047641,,"Venice: Lion City: The Religion of Empire"
"nielsen",9780750678377,,"The Adult Learner: Tthe Definitive Classic in Adult Education and Human Resource Development"
"worldcat",9780750678377,0,"The adult learner : the definitive classic in adult education and human resource development"
"open-library",750678372,,"The adult learner"
"outpan",9780750678377,,"The Adult Learner: The Definitive Classic in Adult Education and Human Resource Development"
"nielsen",9781405824675,,"Child Observation for Learning and Research"
"worldcat",9781405824675,,"Child observation for learning and research"
"outpan",9781405824675,0,"Child Observation for Learning &amp; Research"
"open-library",9781405824675,,"Child observation for learning and research"
"nielsen",9780345545954,,"The City"
"outpan",9780345545954,,"The City"
"nielsen",9780335204359,,"Supporting Identity, Diversity and Language in the Early Years"
"worldcat",9780335204359,,"Supporting identity, diversity, and language in the early years"
"outpan",9780335204359,,"Supporting Identity, Diversity, and Language in the Early Years"
"open-library","033520435X",,"Supporting identity, diversity, and language in the early years"
"nielsen",9780815342434,,"Janeway's Immunobiology"
"worldcat",9780815342434,,"Janeway's Immunobiology"
"outpan",9780815342434,,"Janeway's Immunobiology"
"open-library",9780815342434,,"Janeway's immunobiology"
"nielsen",9781405824675,,"Child Observation for Learning and Research"
"worldcat",9781405824675,,"Child observation for learning and research"
"open-library",9781405824675,,"Child observation for learning and research"
"outpan",9781405824675,0,"Child Observation for Learning &amp; Research"
"nielsen",9782843233784,,"Fashion and Surrealism"
"worldcat",9782843233784,0,"Fashion & surrealism"
"outpan",9782843233784,0,"Fashion & Surrealism"
"open-library","284323378X",0,"Fashion & surrealism"
"nielsen",9780878939787,,"Developmental Biology"
"worldcat",9780878939787,,"Developmental biology"
"outpan",9780878939787,,"Developmental Biology"
"open-library",9780878939787,,"Developmental Biology"
"nielsen",9780415501736,,"An Introduction to Criminological Theory"
"worldcat",9780415501736,,"An introduction to criminological theory"
"nielsen",9780230114890,,"Housework and Housewives in American Advertising: Married to the Mop"
"worldcat",9780230114890,0,"Housework and housewives in modern American advertising : married to the mop"
"outpan",9780230114890,,"Housework and Housewives in Modern American Advertising"
"open-library",9780230114890,,"Housework and housewives in American advertising"
"nielsen",9780435456580,,"BTEC National in Public Services: Level 2: Student Book"
"worldcat",9780435456580,,"BTEC National in Public Services (Uniformed)."
"outpan",9780435456580,,"BTEC National in Public Services: Student Book Level 2 (BTEC National Uniformed Public Services)"
"nielsen",9781593854577,,"Attachment in Adulthood: Structure, Dynamics and Change"
"worldcat",9781593854577,0,"Attachment in adulthood : structure, dynamics, and change"
"outpan",9781593854577,,"Attachment in Adulthood: Structure, Dynamics, and Change"
"open-library",9781593854577,,"Attachment in Adulthood"
"open-library",2182602,,"The football grounds of Great Britain"
"nielsen",9781588265210,,"Peacekeeping in Sierra Leone: The Story of UNAMSIL"
"worldcat",9781588265210,0,"Peacekeeping in Sierra Leone : the story of UNAMSIL"
"outpan",9781588265210,,"Peacekeeping in Sierra Leone: The Story of UNAMSIL"
"open-library",9781588265210,,"Peacekeeping in Sierra Leone"
"nielsen",9780203980583,,"Beyond Quality in Early Childhood Education and Care: Languages of Evaluation"
"worldcat",9780203980583,,"Beyond Quality In Early Childhood Education And Care."
"worldcat",9788807103926,,"La vita e le regole"
"nielsen",9780313316715,,"Audience Participation: Essays on Inclusion in Performance"
"worldcat",9780313316715,0,"Audience participation : essays on inclusion in performance"
"outpan",9780313316715,,"Audience Participation: Essays on Inclusion in Performance"
"open-library",313316716,,"Audience participation"
"nielsen",9780520203341,,"Grand Design: Hollywood as a Modern Business Enterprise, 1930-1939"
"worldcat",9780520203341,0,"Grand design : Hollywood as a modern business enterprise, 1930 - 1939"
"outpan",9780520203341,,"Grand Design: Hollywood as a Modern Business Enterprise, 1930-1939"
"open-library",9780520203341,,"Grand Design"
"nielsen",9780720706420,,"Edwardians at Play: Sport 1890-1914"
"worldcat",9780720706420,0,"Edwardians at play : sport, 1890-1914"
"outpan",9780720706420,,"Edwardians at Play: Sport 1890-1914"
"open-library",720706424,,"Edwardians at play"
"nielsen",9780141024691,,"The Arabs: A History"
"worldcat",9780141024691,0,"The Arabs : a history"
"nielsen",9781847060846,,"Exploring Key Issues in Education"
"worldcat",9781847060846,,"Exploring key issues in education"
"outpan",9781847060846,,"Exploring Key Issues in Education"
"open-library",9781847060846,,"Exploring key issues in education"
"nielsen",9780273787136,,"Consumer Behaviour, Global Edition: Global Edition"
"nielsen",9780385347518,,"My Battle Against Hitler: Faith, Truth, and Defiance in the Shadow of the Third Reich"
"worldcat",9780385347518,0,"He dared speak the truth : a memoir of a man of faith in the shadow of nazi germany."
"outpan",9780385347518,,"My Battle Against Hitler: Faith, Truth, and Defiance in the Shadow of the Third Reich"
"nielsen",9780868407333,,"Essentials of Construction Project Management"
"worldcat",9780868407333,,"Essentials of construction project management"
"outpan",9780868407333,,"Essentials of construction project management"
"nielsen",9781876633189,,"RE-Thinking Early Childhood, Theory and Practice"
"worldcat",9781876633189,,"Re thinking early childhood theory and practice"
"nielsen",9780786111589,1,"The Menace from Earth"
"worldcat",9780786111589,0,"The menace from earth"
"outpan",9780786111589,1,"The Menace from Earth"
"open-library",9780786111589,1,"The Menace from Earth"
"worldcat",9788205400078,,"Grunnleggende sykepleie. Grunnleggende behov"
"nielsen",9780471258476,,"Lee Crohn'S Workshop A Global Assessment of Crohn'S Disease"
"open-library",9780471258476,,"Lee Crohn'S Workshop A Global Assessment of Crohn'S Disease"
"nielsen",9780231149020,,"Hollywood Lighting from the Silent Era to Film Noir"
"worldcat",9780231149020,,"Hollywood lighting from the silent era to film noir"
"outpan",9780231149020,,"Hollywood Lighting from the Silent Era to Film Noir"
"open-library",9780231149020,,"Hollywood lighting from the silent era to film noir"
"worldcat",9780684124025,,"Tunnel in the sky"
"outpan",9780684124025,,"Tunnel In The Snow"
"open-library",684124025,,"Tunnel in the sky"
"nielsen",9780979966668,,"Glitch: Designing Imperfection"
"worldcat",9780979966668,0,"Glitch : designing imperfection"
"outpan",9780979966668,,"Glitch: Designing Imperfection"
"nielsen",9780425034361,,"The Moon Is a Harsh Mistress"
"open-library",9780425034361,,"Moon Is Harsh Mistres"
"outpan",9780425034361,,"Moon Is Harsh Mistres"
"nielsen",9780273787136,,"Consumer Behaviour, Global Edition: Global Edition"
"nielsen",9781455135349,,"Assignment in Eternity"
"worldcat",9781455135349,,"Assignment in eternity"
"worldcat",9781845980054,0,"Dignity on the ward : promoting dignity in hospital : a guide for hospital staff"
"outpan",9781845980054,,"DIGNITY ON THE WARD"
"nielsen",9780750666343,,"Connected Marketing: The Viral, Buzz and Word of Mouth Revolution"
"worldcat",9780750666343,0,"Connected marketing : the viral, buzz and word of mouth revolution"
"outpan",9780750666343,,"Connected marketing"
"open-library","075066634X",,"Connected marketing"
"nielsen",9781408076705,,"Custom Org Beh Man Soc of Work"
"nielsen",9780300138276,,"Macbeth"
"worldcat",9780300138276,,"Macbeth"
"worldcat",9782258003200,,"Polymath"
"nielsen",9780826493408,,"Reflective Teaching: Evidence-informed Professional Practice"
"worldcat",9780826493408,0,"Reflective teaching : evidence-informed professional practice"
"outpan",9780826493408,,"Reflective Teaching 3rd Edition: Evidence-informed Professional Practice"
"open-library",9780826493408,,"Reflective teaching"
"nielsen",9780333920305,,"People Management: Challenges and Opportunities"
"worldcat",9780333920305,0,"People management : challenges and opportunities"
"outpan",9780333920305,,"People Management: Challenges and Opportunities"
"open-library",9780333920305,,"People Management"
"nielsen",9781405102995,,"Vladimir Putin and the Evolution of Russian Foreign Policy"
"worldcat",9781405102995,,"Vladimir Putin and the evolution of Russian foreign policy"
"outpan",9781405102995,,"Vladimir Putin and the evolution of Russian foreign policy"
"open-library",9781405102995,,"Vladimir Putin and the Evolution of Russian Foreign Policy"
"nielsen",9781848601970,,"Mathematics Explained for Primary Teachers"
"worldcat",9781848601970,,"Mathematics explained for primary teachers."
"outpan",9781848601970,,"Mathematics Explained for Primary Teachers"
"nielsen",9780879970895,,"Polymath"
"outpan",9780879970895,,"Polymath"
"open-library",9780879970895,,"Polymath"
"nielsen",9780405105975,,"A Psychological Warfare Casebook"
"worldcat",9780405105975,,"A psychological warfare casebook"
"outpan",9780405105975,,"A Psychological Warfare Casebook"
"open-library",405105975,,"A psychological warfare casebook"
"nielsen",9781574881943,,"Victory at Any Cost: The Genius of Viet Nam's Gen. Vo Nguyen Giap"
"worldcat",9781574881943,0,"Victory at any cost : the genius of Viet Nam's Gen. Vo Nguyen Giap"
"outpan",9781574881943,0,"Victory at Any Cost: The Genius of Viet Nam&#39;s Gen. Vo Nguyen Giap"
"open-library",1574881949,,"Victory at any cost"
"nielsen",9780192616135,,"Imposing Aid: Emergency Assistance to Refugees"
"worldcat",9780192616135,0,"Imposing aid : emergency assistance to refugees"
"outpan",9780192616135,,"Imposing aid"
"open-library",192616137,,"Imposing aid"
"nielsen",9780804750202,,"National Differences, Global Similarities: World Culture and the Future of Schooling"
"worldcat",9780804750202,0,"National differences, global similarities : world culture and the future of schooling"
"open-library",9780804750202,,"National Differences, Global Similarities"
"outpan",9780804750202,,"National Differences, Global Similarities: World Culture and the Future of Schooling"
"nielsen",9780333923030,,"Sharing Our World 1: Living Together in Our Home and School: Pupil's Book"
"open-library",9780333923030,,"People Management Challenges and Opportunities"
"outpan",9780333923030,,"People Management Challenges and Opportunities"
"worldcat",9780060530341,,"The twentieth century"
"outpan",9780060530341,,"The Twentieth Century: A People's History"
"open-library",60530340,,"The twentieth century"
"nielsen",9780879970895,,"Polymath"
"outpan",9780879970895,,"Polymath"
"open-library",9780879970895,,"Polymath"
"nielsen",9780394280356,,"Crossing the River"
"worldcat",9780394280356,,"Crossing the river"
"outpan",9780394280356,,"Crossing the river"
"open-library",394280350,,"Crossing the river"
"nielsen",9780415945738,,"Problems of Protection: The UNHCR, Refugees, and Human Rights"
"worldcat",9780415945738,0,"Problems of protection : the INHCR, refugees, and human rights in the 21st century"
"outpan",9780415945738,,"Problems of Protection: The UNHCR, Refugees, and Human Rights"
"open-library",415945739,,"Problems of protection"
"nielsen",9780813542577,,"The Horror Film"
"worldcat",9780813542577,,"The horror film"
"nielsen",9780870032363,,"Russia: Lost in Transition: The Yeltsin and Putin Legacies"
"worldcat",9780870032363,0,"Russia lost in transition : the Yeltsin and Putin legacies"
"outpan",9780870032363,,"Russia: Lost in Transition: The Yeltsin and Putin Legacies"
"open-library",9780870032363,,"Russia - Lost in Transition"
"nielsen",9781405144414,,"Essential Midwifery Practice: Public Health"
"worldcat",9781405144414,0,"Essential midwifery practice : public health"
"outpan",9781405144414,,"Essential Midwifery Practice"
"open-library",9781405144414,,"Essential midwifery practice"
"nielsen",9780470565476,,"On Being a Therapist"
"worldcat",9780470565476,,"On being a therapist"
"outpan",9780470565476,,"On Being a Therapist"
"open-library",9780470565476,,"On being a therapist"
"nielsen",9780199290949,,"The State of the World's Refugees: Human Displacement in the New Millennium"
"worldcat",9780199290949,0,"The state of the world's refugees : human displacement in the new millennium."
"open-library",9780199290949,,"The state of the world's refugees 2006"
"outpan",9780199290949,,"The state of the world's refugees, 2006"
"nielsen",9780801487965,,"Condemned to Repeat?: The Paradox of Humanitarian Action"
"worldcat",9780801487965,0,"Condemned to repeat? : the paradox of humanitarian action"
"outpan",9780801487965,,"Condemned to Repeat: The Paradox of Humanitarian Action"
"open-library",9780801487965,,"Condemned to Repeat?"
"nielsen",9781283275767,,"Social Work"
"worldcat",9781283275767,,"Social Work: An Introduction to Contemporary Practice"
"nielsen",9780719056765,,"Culture, Gender and Identity: The British Middle Classes, 1795-1939"
"worldcat",9780719056765,0,"Gender, civic culture and consumerism : middle-class identity in Britain, 1800-1940"
"outpan",9780719056765,,"Gender, civic culture, and consumerism"
"open-library",9780719056765,,"Gender, Civic Culture and Consumerism"
"nielsen",9780521572170,,"Sport, Economy and Society in Britain 1750-1914"
"worldcat",9780521572170,,"Sport, economy, and society in Britain, 1750-1914"
"outpan",9780521572170,,"Sport, Economy and Society in Britain 1750-1914"
"open-library",521572177,,"Sport, economy, and society in Britain, 1750-1914"
"nielsen",9780335242627,,"Doing Early Childhood Research"
"worldcat",9780335242627,0,"Doing early childhood research : international perspectives on theory and practice"
"outpan",9780335242627,0,"Doing Early Childhood Research: International Perspectives on Theory & Practice"
"nielsen",9780851708867,,"Genre and Contemporary Hollywood"
"worldcat",9780851708867,,"Genre and contemporary Hollywood"
"outpan",9780851708867,,"Genre and Contemporary Hollywood"
"open-library",851708862,,"Genre and contemporary Hollywood"
"nielsen",9780340967553,,"Complete Psychology"
"worldcat",9780340967553,,"Complete psychology."
"open-library",9780340967553,,"Complete psychology"
"outpan",9780340967553,,"Complete Psychology"
"nielsen",9781403916204,,"Communication in Social Work"
"worldcat",9781403916204,,"Communication in social work"
"outpan",9781403916204,,"Communication and Social Work"
"open-library",9781403916204,,"Communication in social work"
"nielsen",9781853839528,,"Internally Displaced People: A Global Survey"
"worldcat",9781853839528,0,"Internally displaced people : a global survey"
"outpan",9781853839528,,"Internally Displaced People: A Global Survey"
"open-library",1853839523,,"Internally displaced people"
"nielsen",9781435627956,,"Natural Resource Management for Sustainable Development in the Caribbean"
"worldcat",9781435627956,,"Natural resource management for sustainable development in the Caribbean"
"open-library",9781435627956,,"Natural resource management for sustainable development in the Caribbean"
"worldcat",9780966017670,,"The scientist and engineer's guide to digital signal processing"
"open-library",9780966017670,,"The scientist and engineer's guide to digital signal processing"
"nielsen",9780273718505,,"Research Methods for Nursing and Healthcare"
"worldcat",9780273718505,,"Research methods for nursing and healthcare"
"outpan",9780273718505,,"Research Methods for Nursing and Healthcare"
"open-library",9780273718505,,"Research methods for nurses"
"nielsen",9780205198757,,"Child Development"
"worldcat",9780205198757,,"Child development"
"outpan",9780205198757,,"Child development"
"open-library",205198759,,"Child development"
"nielsen",9780080879239,,"Population Limitation in Birds"
"worldcat",9780080879239,,"Population limitation in birds"
"nielsen",9780321045225,,"Lifespan Development"
"worldcat",9780321045225,,"Lifespan development"
"outpan",9780321045225,,"Lifespan development"
"open-library",9780321045225,,"Lifespan Development (3rd Edition)"
"nielsen",9780273718505,,"Research Methods for Nursing and Healthcare"
"worldcat",9780273718505,,"Research methods for nursing and healthcare"
"outpan",9780273718505,,"Research Methods for Nursing and Healthcare"
"open-library",9780273718505,,"Research methods for nurses"
"nielsen",9780335206995,,"Social Work Skills: A Practice Handbook"
"worldcat",9780335206995,0,"Social work skills : a practice handbook"
"outpan",9780335206995,0,"Social Work Skills : A Practice Handbook"
"open-library",9780335206995,,"Social Work Skills"
"nielsen",9781457639807,,"Understanding the American Promise: A History, Volume I: To 1877: A History of the United States"
"worldcat",9781457639807,0,"Understanding the American promise : a history"
"outpan",9781457639807,,"Understanding the American Promise"
"nielsen",9781446282328,,"Communication and Interpersonal Skills in Social Work"
"worldcat",9781446282328,,"Communication and interpersonal skills in social work"
"nielsen",9781584874508,,"The U.S. Army War College Guide to National Security Issues"
"worldcat",9781584874508,,"The U.S. Army War College guide to national security issues"
"open-library",1584874503,,"U.S, Army War College Guide to National Security Issues"
"nielsen",9780335239108,,"Essentials of Pharmacology for Nurses"
"worldcat",9780335239108,,"Essentials of Pharmacology for Nurses."
"nielsen",9780123978042,,"Subsea Engineering Handbook"
"worldcat",9780123978042,,"Subsea engineering handbook"
"outpan",9780123978042,,"Subsea Engineering Handbook"
"open-library",9780123978042,,"Subsea engineering handbook"
"nielsen",9780030328589,,"Lifespan Development"
"worldcat",9780030328589,,"Lifespan development"
"outpan",9780030328589,,"Lifespan Development"
"open-library",30328586,,"Lifespan development"
"nielsen",9780582013186,,"The Later Medieval City: 1300-1500"
"worldcat",9780582013186,,"A history of urban society in Europe."
"outpan",9780582013186,,"Later Medieval City: 1300-1500"
"open-library",582013186,,"The later medieval city, 1300-1500"
"nielsen",9780205150274,,"Child Development"
"worldcat",9780205150274,,"Child development"
"outpan",9780205150274,,"Child development"
"open-library",205150276,,"Child development"
"nielsen",9780123979292,,"International Sustainable Communities Handbook"
"worldcat",9780123979292,0,"Global sustainable communities handbook : green design technologies"
"nielsen",9780582051287,,"The Medieval Town in England 1200-1540"
"worldcat",9780582051287,0,"The medieval town 1200-1540 : a reader in English urban history"
"outpan",9780582051287,,"English Medieval Town A Reader in English Urban History, 1200-1540"
"open-library",582051282,,"The English medieval town"
"nielsen",9780415880770,,"The Employee-Organization Relationship: Applications for the 21st Century"
"worldcat",9780415880770,0,"The employee-organization relationship : applications for the 21st century"
"outpan",9780415880770,,"The Employee-Organization Relationship"
"open-library",9780415880770,,"The employee-organization relationship"
"nielsen",9781550391428,,"The Girl with a Baby"
"worldcat",9781550391428,,"The girl with a baby"
"outpan",9781550391428,,"Girl with a Baby"
"open-library",9781550391428,,"The Girl With a Baby"
"nielsen",9781550391428,,"The Girl with a Baby"
"worldcat",9781550391428,,"The girl with a baby"
"outpan",9781550391428,,"Girl with a Baby"
"open-library",9781550391428,,"The Girl With a Baby"
"nielsen",9780849918223,,"Chronicles of the Cross: No Wonder They Call Him the Savior/Six Hours One Friday/And the Angels Were Silent"
"outpan",9780849918223,,"Chronicles of the Cross: No Wonder They Call Him the Savior/Six Hours One Friday/And the Angels Were Silent"
"open-library",9780849918223,,"Chronicles of the Cross Collection"
"nielsen",9780334029762,,"Theological Reflections: Methods: v. 1"
"worldcat",9780334029762,0,"Theological reflection : methods"
"outpan",9780334029762,0,"Theological Reflections : Methods"
"open-library",334029767,,"THEOLOGICAL REFLECTIONS: METHODS."
"nielsen",9781856176897,,"Subsea Engineering Handbook"
"worldcat",9781856176897,,"Subsea structural engineering handbook"
"outpan",9781856176897,,"Subsea Structural Engineering Handbook"
"nielsen",9781550391428,,"The Girl with a Baby"
"worldcat",9781550391428,,"The girl with a baby"
"outpan",9781550391428,,"Girl with a Baby"
"open-library",9781550391428,,"The Girl With a Baby"
"nielsen",9780199269136,,"The Employment Relationship: Examining Psychological and Contextual Perspectives"
"worldcat",9780199269136,0,"The employment relationship : examining psychological and contextual perspectives"
"open-library",199269130,,"The employment relationship"
"outpan",9780199269136,,"The Employment Relationship: Examining Psychological and Contextual Perspectives"
"nielsen",9781550391428,,"The Girl with a Baby"
"worldcat",9781550391428,,"The girl with a baby"
"open-library",9781550391428,,"The Girl With a Baby"
"outpan",9781550391428,,"Girl with a Baby"
"worldcat",9783861531425,0,"DDR-Geschichte in Dokumenten : Beschlüsse, Berichte, interne Materialien und Alltagszeugnisse"
"outpan",9783861531425,,"DDR-Geschichte in Dokumenten: Beschlusse, Berichte, Interne Materialien Und Alltagszeugnisse"
"open-library",3861531429,,"DDR-Geschichte in Dokumenten"
"nielsen",9781845206673,,"Photography: The Key Concepts"
"worldcat",9781845206673,0,"Photography : the key concepts"
"outpan",9781845206673,,"Photography"
"open-library",9781845206673,,"Photography"
"nielsen",9780140053975,,"On Photography"
"worldcat",9780140053975,,"On photography"
"outpan",9780140053975,,"On photography"
"open-library",140053972,,"On photography"
"worldcat",9783893313075,0,"DDR-Geschichte in Dokumenten : Beschlüsse, Berichte, interne Materialien und Alltagszeugnisse"
"open-library",3893313079,,"DDR-Geschichte in Dokumenten"
"nielsen",9780073402727,,"Cooperative Chemistry Lab Manual"
"worldcat",9780073402727,,"Cooperative chemistry laboratory manual"
"outpan",9780073402727,,"Cooperative Chemistry Lab Manual"
"nielsen",9780199583409,,"Business Research Methods"
"worldcat",9780199583409,,"Business research methods"
"open-library",9780199583409,,"Business research methods"
"outpan",9780199583409,,"Business Research Methods. Alan Bryman, Emma Bell"
"nielsen",9780582215313,,"Sweet Land of Liberty?: African-American Struggle for Civil Rights in the Twentieth Century"
"worldcat",9780582215313,0,"Sweet land of liberty? : the african-american struggle for civil rights in the twentieth century"
"outpan",9780582215313,,"Sweet land of liberty?"
"open-library",582215315,,"Sweet land of liberty?"
"worldcat",9783893313075,0,"DDR-Geschichte in Dokumenten : Beschlüsse, Berichte, interne Materialien und Alltagszeugnisse"
"open-library",3893313079,,"DDR-Geschichte in Dokumenten"
"nielsen",9781550391428,,"The Girl with a Baby"
"worldcat",9781550391428,,"The girl with a baby"
"outpan",9781550391428,,"Girl with a Baby"
"open-library",9781550391428,,"The Girl With a Baby"
"nielsen",9780273701842,,"Organisational Behaviour: Individuals, Groups and Organisation"
"worldcat",9780273657989,0,"Organisational behaviour : individuals, groups and organisation"
"outpan",9780273657989,,"Organisational behaviour"
"open-library",9780273657989,,"Organisational Behavior"
"nielsen",9781472525109,,"Train Your Gaze: A Practical and Theoretical Introduction to Portrait Photography"
"worldcat",9782940373376,0,"Train your gaze : (a practical and theoretical introduction to portrait photography)"
"outpan",9782940373376,0,"Train Your Gaze : The Theory and Practice of the Comtemporary Portrait"
"open-library",9782940373376,,"Train Your Gaze"
"nielsen",9781472525109,,"Train Your Gaze: A Practical and Theoretical Introduction to Portrait Photography"
"worldcat",9782940373376,0,"Train your gaze : (a practical and theoretical introduction to portrait photography)"
"outpan",9782940373376,0,"Train Your Gaze : The Theory and Practice of the Comtemporary Portrait"
"open-library",9782940373376,,"Train Your Gaze"
"nielsen",9786074816044,,"Matematicas Aplicadas a Los Negocios, Las Ciencias Sociales"
"worldcat",9786074816044,,"Matemáticas aplicadas a los negocios, las ciencia sociales y de la vida"
"nielsen",9781931868587,,"UPI Style Book and Guide to Newswriting"
"worldcat",9781931868587,0,"UPI style book & guide to newswriting"
"outpan",9781931868587,,"UPI Style Book and Guide to Newswriting"
"open-library",1931868581,0,"UPI style book & guide to newswriting"
"nielsen",9781844454747,,"Child Development for Early Childhood Studies"
"worldcat",9781844454747,,"Child development for early childhood studies"
"outpan",9781844454747,,"Child Development for Early Childhood Studies"
"open-library",9781844454747,,"Child development for early childhood studies"
"nielsen",9780273711216,,"Work Psychology"
"worldcat",9780273711216,0,"Work psychology : understanding human behaviour in the workplace"
"open-library",9780273711216,,"Work psychology"
"outpan",9780273711216,,"Work Psychology"
"nielsen",9780871205049,,"Classroom Instruction That Works: Research Based Strategies for Increasing Student Achievement"
"worldcat",9780871205049,0,"Classroom instruction that works : research-based strategies for increasing student achievement"
"outpan",9780871205049,,"Classroom Instruction That Works: Research-Based Strategies for Increasing Student Achievement"
"open-library",9780871205049,,"Classroom Instruction That Works"
"nielsen",9781847671127,,"A Night Out with Robert Burns: The Greatest Poems"
"worldcat",9781847671127,0,"A night out with Robert Burns : the greatest poems"
"outpan",9781847671127,,"A Night Out with Robert Burns: The Greatest Poems"
"open-library",9781847671127,,"A night out with Robert Burns"
"nielsen",9780061992704,,"Sh*t My Dad Says"
"worldcat",9780061992704,,"Sh*t my dad says"
"outpan",9780061992704,,"Shit My Dad Says"
"open-library",9780061992704,,"Sh*t My Dad Says"
"nielsen",9780194421812,,"Sociocultural Theory and the Genesis of Second Language Development"
"worldcat",9780194421812,,"Sociocultural theory and the genesis of second language development"
"outpan",9780194421812,,"Sociocultural Theory And the Genesis of Second Language"
"open-library",194421813,,"SOCIOCULTURAL THEORY AND THE GENESIS OF SECOND LANGUAGE DEVELOPMENT."
"worldcat",9781615838011,,"Subsea pipeline engineering"
"nielsen",9780891952732,,"Beyond Friendship: The Future of Anglo-American Relations"
"worldcat",9780891952732,0,"Beyond friendship : the future of Anglo-American relations"
"outpan",9780891952732,,"Beyond Friendship: The Future of Anglo-American Relations"
"open-library",9780891952732,,"Beyond Friendship"
"nielsen",9781853590368,,"Dialect and Education: Some European Perspectives"
"worldcat",9781853590368,0,"Dialect and education : some European perspectives"
"outpan",9781853590368,0,"Dialect and Education : Some European Perspectives"
"open-library",1853590363,,"Dialect and education"
"nielsen",9780205844487,,"The Developing Child"
"worldcat",9780205844487,,"The developing child"
"nielsen",9781405853118,,"The Practice of English Language Teaching"
"worldcat",9781405853118,,"The practice of English language teaching"
"outpan",9781405853118,,"The Practice of English Language Teaching"
"open-library",9781405853118,,"The Practice of English Language Teaching with DVD"
"nielsen",9780521431095,,"Input and Interaction in Language Acquisition"
"worldcat",9780521431095,,"Input and interaction in language acquisition"
"outpan",9780521431095,,"Input and interaction in language acquisition"
"open-library",521431093,,"Input and interaction in language acquisition"
"nielsen",9781292001012,,"Child Development: Theory and Practice 0-11"
"worldcat",9781292001012,0,"Child development : theory and practice 0-11"
"nielsen",9780786425785,,"Henry James Against the Aesthetic Movement: Essays on the Middle and Late Fiction"
"worldcat",9780786425785,0,"Henry James against the aesthetic movement : essays on the middle and late fiction"
"outpan",9780786425785,,"Henry James Against the Aesthetic Movement: Essays on the Middle and Late Fiction"
"open-library",9780786425785,,"Henry James Against the Aesthetic Movement"
"nielsen",9780747528302,,"Emotional Intelligence: Why it Can Matter More Than IQ"
"worldcat",9780747528302,0,"Emotional intelligence : why it can matter more than IQ"
"open-library",747528306,,"Emotional intelligence"
"outpan",9780747528302,,"Emotional intelligence"
"nielsen",9780443063732,,"The Roper-Logan-Tierney Model of Nursing: Based on Activities of Living"
"worldcat",9780443063732,0,"The Roper-Logan-Tierney model of nursing : based on activities of living"
"outpan",9780443063732,,"The Roper Logan and Tierney Model Nursing: Based on Activities of Living"
"open-library",9780443063732,,"The Roper-Logan-Tierney Model of Nursing"
